	input	category	prediction
0	A cake was blessed by the wolf .	active_to_passive	cake ( 12 ) ; * wolf ( 27 ) ; bless ( 5 ) AND agent ( 5 , 27 ) AND theme ( 5 , 12 )
1	A melon was blessed by a boy .	active_to_passive	melon ( 12 ) ; boy ( 27 ) ; bless ( 5 ) AND theme ( 5 , 12 ) AND agent ( 5 , 27 )
2	A cake was blessed by Nathan .	active_to_passive	cake ( 12 ) ; Nathan ( 27 ) ; bless ( 34 ) AND theme ( 34 , 12 ) AND agent ( 34 , 27 )
3	The bowl was blessed by a girl .	active_to_passive	* bowl ( 3 ) ; girl ( 8 ) ; bless ( 12 ) AND theme ( 12 , 3 ) AND agent ( 12 , 8 )
4	The teacher believed that the toy was blessed by Mia .	active_to_passive	* teacher ( 1 ) ; * toy ( 9 ) ; Mia ( 17 ) ; believe ( 5 ) AND agent ( 5 , 1 ) AND ccomp ( 5 , 13 ) AND bless ( 13 ) AND theme ( 13 , 9 ) AND agent ( 13 , 17 )
5	The radio was blessed .	active_to_passive	* radio ( 1 ) ; bless ( 4 ) AND theme ( 4 , 1 )
6	A raisin was blessed by Sofia .	active_to_passive	raisin ( 12 ) ; Sofia ( 27 ) ; bless ( 34 ) AND theme ( 34 , 12 ) AND agent ( 34 , 27 )
7	A pencil was blessed .	active_to_passive	pencil ( 1 ) ; bless ( 4 ) AND theme ( 4 , 1 )
8	A donut was blessed by a horse .	active_to_passive	donut ( 12 ) ; horse ( 27 ) ; bless ( 34 ) AND theme ( 34 , 12 ) AND agent ( 34 , 27 )
9	A rose was blessed .	active_to_passive	rose ( 1 ) ; bless ( 4 ) AND theme ( 4 , 1 )
10	Emma said that the drink was blessed by a girl .	active_to_passive	Emma ( 1 ) ; * drink ( 9 ) ; girl ( 17 ) ; say ( 5 ) AND agent ( 5 , 1 ) AND ccomp ( 5 , 13 ) AND bless ( 13 ) AND theme ( 13 , 9 ) AND agent ( 13 , 17 )
11	The needle was blessed .	active_to_passive	* needle ( 1 ) ; bless ( 4 ) AND theme ( 4 , 1 )
12	The banana was blessed by the dog .	active_to_passive	* banana ( 1 ) ; * dog ( 5 ) ; bless ( 9 ) AND theme ( 9 , 1 ) AND agent ( 9 , 5 )
13	The cake was blessed by a cat .	active_to_passive	* cake ( 12 ) ; cat ( 5 ) ; bless ( 8 ) AND theme ( 8 , 12 ) AND agent ( 8 , 5 )
14	A shoe was blessed .	active_to_passive	shoe ( 1 ) ; bless ( 4 ) AND theme ( 4 , 1 )
15	The box was blessed by Benjamin .	active_to_passive	* box ( 12 ) ; Benjamin ( 27 ) ; bless ( 18 ) AND theme ( 18 , 12 ) AND agent ( 18 , 27 )
16	A melon was blessed by a goose .	active_to_passive	melon ( 12 ) ; goose ( 27 ) ; bless ( 34 ) AND theme ( 34 , 12 ) AND agent ( 34 , 27 )
17	Aria respected that the liver was blessed by Emma .	active_to_passive	Aria ( 1 ) ; * liver ( 9 ) ; Emma ( 17 ) ; respect ( 5 ) AND agent ( 5 , 1 ) AND ccomp ( 5 , 13 ) AND bless ( 13 ) AND theme ( 13 , 9 ) AND agent ( 13 , 17 )
18	The cake was blessed by Emma .	active_to_passive	* cake ( 12 ) ; Emma ( 27 ) ; bless ( 34 ) AND theme ( 34 , 12 ) AND agent ( 34 , 27 )
19	A rose was blessed by a boy .	active_to_passive	rose ( 12 ) ; boy ( 27 ) ; bless ( 34 ) AND theme ( 34 , 12 ) AND agent ( 34 , 27 )
