,example_id,sentence
0,0,"This year we were at a restaurant that clearly ""skimped"" on menu items as well as food portions."
1,1,A long way.
2,2,"A friend and I went on a Thursday evening  around 730/ 8 pm or so and it was a little busy, but we  have to wait at all for a table."
3,3,You'll love to say I used to be married to that woman.
4,4,I feel like any place I move will be a downgrade from this place!
5,5,It was alright - I would consider dining again but it will not be a destination for a night out.
6,6,The service was so bad. The server never even told us her name. And Gary the manager on duty pretty much ignored us. I would never go back to the Piatti in Roseville EVER!!!!!!
7,7,"Three of us had different 3-course meals, and they were all bad (taste-wise). What we ordered were common dishes many other places have in their menu. They were the worst here."
8,8,"the service was very good. However, I felt the crepe was over-cooked and had much too much cheese in it. The crepe choice were not very interesting....and nothing else appealed to me either."
9,9,My wife had salmon.
10,10,The shuttles only go to the Whynn Hotel Resort and to the Caesar's Palace Forum Shops. I didn't like that limitation.
11,11,I know where I am making my next appointment!
12,12,"in its ragged , cheap and unassuming way , the movie works ."
13,13,"They offer a TV to watch, I wish we could've gotten it to work and would recommend more cooks."
14,14,Pretty restaurant. Disappointing sauces on the pastas. Food was heavier than expected. Ok restaurant but nothing special.
15,15,It was wrong in all the wonderful ways.
16,16,The food was average. I doubt I will go back there.
17,17,"but in 2002 , such revelations wilt ."
18,18,My lovely date and I came to this restaurant.
19,19,We had 6pm reservations.
20,20,"not for everyone , but for those with whom it will connect , it 's a nice departure from standard moviegoing fare ."
21,21,"That should alarm you when ALL meat sold in the US is processed with chemicals for preservation, even the expensive ""local"" garbage."
22,22,"definitely not worth being in the list ""where to eat 2010""!!"
23,23,"The smaller than expected bits are not generally little, in any event for me."
24,24,... understands that a generation defines its music as much as the music defines a generation .
25,25,"Was expecting a fine dining experience; instead, tables under a metal roof. Would be great lunch spot, especially coming off the lake. Prices very high for a place like this."
26,26,"andersson creates a world that 's at once surreal and disturbingly familiar ; absurd , yet tremendously sad ."
27,27,Delivery or carry out options are not available because its ambience must be experienced firsthand.
28,28,"I honestly have had some pretty bad ones, and this is true to form."
29,29,Food was delicious and the service great! Make a reservation or you will have quite a wait.
30,30,The golden burritos were as genuine and real as a three dollar bill
31,31,"Your debt is outstanding, the loan clerk told me with a look of glee."
32,32,So how's it all u can but u can't have more of what u want?!?!?
33,33,effective but too-tepid biopic
34,34,More intimate bar area which we didn't use.
35,35,"I'm a huge skeptic when it comes to buying things online, specially with the news of all the exploding hover board."
36,36,I have learned how to avoid the smokes
37,37,This place used to have some of the best food in town - not anymore. It's way too expensive for what you get.
38,38,"Or you can dine outside and ""put your feet in the sand""(literally).The food is fantastic, great selections of seafood and non ocean fare as well."
39,39,"The menu listed many options of dessert such as cheesecake , lemon cake , and carrot cake."
40,40,"Menu is heavily seafood, which is to be expected in Destin."
41,41,"This Italian restaurant has very little to offer in terms of originality or outstanding cuisine. Good for clerical lunchtime meetings, from Monday to Friday, mostly due to its location."
42,42,This place is way better!
43,43,Menu was interesting--pizzas not the usual fare. Staff friendly and efficient. Fabulous locale if you're going to a ballgame.
44,44,The food and the service were at the level that I was expecting for a restaurant that is owned by a renowned chef.
45,45,"Danny Meyer for the win, as usual. Service is impeccable."
46,46,The only shadow on the experience is the wait staff's consistently thinly veiled disappointment if you don't order tons to eat.
47,47,I believe he was working with a private party and was less attentive than usual.
48,48,She told me to wait to get the charge reversed as the guy was in the bathroom.
49,49,The food was good. The wine list was good. I did not like that they threw the bread on the table wrapped in paper. It was very casual and I expected more from Batali/Bastianich.
50,50,"The restaurant has none dedicated to it; on-street is the only option, and that can require a bit of looking."
51,51,I like that I get the email notification and easy enough to schedule an appointment.
52,52,I read many reviews of all the haunts in the Northend and I was surprised at the negativity most of these contained.
53,53,We loved Market Table! I was especially impressed with the wonderful service. Very friendly.
54,54,"though the violence is far less sadistic than usual , the film is typical miike : fast , furious and full of off-the-cuff imaginative flourishes ."
55,55,you bet .
56,56,"Three women who haven't had a chance to get together for awhile, we found a quiet corner by the window where we were able to indulge in great conversation, great food and a glass of superb wine."
57,57,"We were there on a Sunday night and it wasn't busy, so the noise level was pretty quiet. Sometimes it can be quite loud in there on a busy night - we'll be back on a Sunday night : )."
58,58,The food was not good. The staff was friendly and helpful but the food was really very average.
59,59,"Mother's Day Brunch - food was good, but waited 1 hour for after ordering, with no updates, apologies, or explanations."
60,60,"Not the ""special night out"" restaurant we were hoping for. Food was mediocre and over priced."
61,61,The service is really sluggish.
62,62,"lends itself to the narcotizing bland -lrb- sinister , though not nearly so sinister as the biennial disney girl movie -rrb- machinations of the biennial disney boy movie ."
63,63,The host was very nice.
64,64,The employees are amazing at appearing to care about their jobs; what a trick!
65,65,The food and service were excellent. Enjoyed the surroundings.
66,66,"Don't be fooled by the small plates, it's filling after a while."
67,67,Huge disappointment.  Pizzas are overrated.
68,68,"For this reason, I requested AccuTemp to come out the following morning."
69,69,"Finally, a restaurant where they wait until you finish one course before they bring the next course."
70,70,there 's no way to sort out the mess in our heads and deconstruct where it all went wrong .
71,71,U can tell local owners and care about putting out good local grinds.
72,72,They serve these cocktails that are popular in New York.
73,73,I really enjoyed the food. The service was quite poor -- we waited 20 minutes to order our food after the drinks came.
74,74,Get up off the couch and head directly to Cuatro.
75,75,Service was HORRIBLE. We were ignored most of the night by the wait staff. Food was good though.
76,76,"That being said, if I had to complain I would about the price of the steak being different from the one in the menu ($19 to the menu's 16, both without tax)."
77,77,"The Sunday special of lobster, potatoes and corn was a good deal. They could forget about the corn, but as usual the rest of the food was excellent."
78,78,It started off very well.
79,79,"The order form gives you a number of options that you can choose from for your base, protein, sauce, veggies, and crunch."
80,80,good food; way too crowded-tables elbow to elbow and too loud to have a conversation. The waitress could not take a spoken order-I had to yell it to her.
81,81,This is the Best Buy that can be found just south of the 215 off of Rainbow Blvd.
82,82,"Needless to say, we won't 2 years to go again."
83,83,The kids liked their food. interesting
84,84,I selected this restaurant because I thought it would be a good place for a business meeting. You met my expectations. Thanks.
85,85,I took two bites and fed the rest to my dog.
86,86,I wasn't able to have more than a bite and that enough.
87,87,I know I'm going to sound like a I have an axe to grind but let me tell you my story.
88,88,It was rock hard.
89,89,We had gone out to dinner the night before and had a mediocre meal in all aspects.
90,90,The table got dark as they blocked out the light from our candle...
91,91,I also like how they always have soccer streaming on all the televisions.
92,92,"Having eaten at Del Frisco's in other cities, we opted for something new at Envy."
93,93,"an ungainly , comedy-deficient , b-movie rush job ..."
94,94,They can be a bit messy to eat.
95,95,Next time I will dine outside for the experience.
96,96,What a delightful little tea/dessert spot.
97,97,What kind of place doesn't give out their number?
98,98,"On the good side, both the menu and the service have improved significantly."
99,99,A bit noisy up there and not as nice a decor.
100,100,"The staff were great, only negeative was the noise, it was hard to have a conversation,

And yes we will return."
101,101,I like a lot of foods and I would say they do well with the malaysian dishes.
102,102,Service was very slow. Food quality was so-so. Some at are table enjoyed and others didn't. My chicken sandwich was not good...at all.
103,103,"compelling revenge thriller , though somewhat weakened by a miscast leading lady ."
104,104,Service was excellent. My husband and I went years ago when Rialto first openned and we really loved the food and atmosphere. We were not as impressed this time.
105,105,"Let me tell, first of all that I told all the grievances."
